filename,class
DGE_all\2\280_DGE.tif,2
DGE_all\2\453_DGE.tif,2
DGE_all\2\40_DGE.tif,2
DGE_all\2\3_DGE.tif,2
DGE_all\2\22_DGE.tif,2
DGE_all\2\20_DGE.tif,2
DGE_all\2\46_DGE.tif,2
DGE_all\2\522_DGE.tif,2
DGE_all\2\59_DGE.tif,2
DGE_all\2\123_DGE.tif,2
DGE_all\2\261_DGE.tif,2
DGE_all\2\454_DGE.tif,2
DGE_all\2\130_DGE.tif,2
DGE_all\2\539_DGE.tif,2
DGE_all\2\2_DGE.tif,2
DGE_all\2\212_DGE.tif,2
DGE_all\2\528_DGE.tif,2
DGE_all\2\404_DGE.tif,2
DGE_all\2\405_DGE.tif,2
DGE_all\2\60_DGE.tif,2
DGE_all\2\1_DGE.tif,2
DGE_all\2\245_DGE.tif,2
DGE_all\2\431_DGE.tif,2
DGE_all\2\243_DGE.tif,2
DGE_all\2\175_DGE.tif,2
DGE_all\2\263_DGE.tif,2
DGE_all\2\86_DGE.tif,2
DGE_all\2\476_DGE.tif,2
DGE_all\2\281_DGE.tif,2
DGE_all\2\38_DGE.tif,2
DGE_all\2\544_DGE.tif,2
DGE_all\2\313_DGE.tif,2
DGE_all\2\84_DGE.tif,2
DGE_all\2\423_DGE.tif,2
DGE_all\2\89_DGE.tif,2
DGE_all\2\527_DGE.tif,2
DGE_all\2\477_DGE.tif,2
DGE_all\2\254_DGE.tif,2
DGE_all\2\111_DGE.tif,2
DGE_all\2\184_DGE.tif,2
DGE_all\2\411_DGE.tif,2
DGE_all\2\465_DGE.tif,2
DGE_all\2\385_DGE.tif,2
DGE_all\2\67_DGE.tif,2
DGE_all\2\151_DGE.tif,2
DGE_all\2\338_DGE.tif,2
DGE_all\2\165_DGE.tif,2
DGE_all\2\34_DGE.tif,2
DGE_all\2\205_DGE.tif,2
DGE_all\2\336_DGE.tif,2
DGE_all\2\398_DGE.tif,2
DGE_all\2\381_DGE.tif,2
DGE_all\2\246_DGE.tif,2
