filename,class
DGE_all_cows\2\Cow_11\32_DGE.tif,2
DGE_all_cows\2\Cow_11\98_DGE.tif,2
DGE_all_cows\2\Cow_11\250_DGE.tif,2
DGE_all_cows\2\Cow_11_2\142_DGE.tif,2
DGE_all_cows\2\Cow_11_2\205_DGE.tif,2
DGE_all_cows\2\Cow_11_2\217_DGE.tif,2
DGE_all_cows\2\Cow_11\144_DGE.tif,2
DGE_all_cows\2\Cow_11_2\129_DGE.tif,2
DGE_all_cows\2\Cow_11_2\161_DGE.tif,2
DGE_all_cows\2\Cow_11\224_DGE.tif,2
DGE_all_cows\2\Cow_11\180_DGE.tif,2
DGE_all_cows\2\Cow_11\331_DGE.tif,2
DGE_all_cows\2\Cow_11_2\178_DGE.tif,2
DGE_all_cows\2\Cow_11_2\235_DGE.tif,2
DGE_all_cows\2\Cow_11_2\164_DGE.tif,2
DGE_all_cows\2\Cow_21_8029\55_DGE.tif,2
DGE_all_cows\2\Cow_11_2\109_DGE.tif,2
DGE_all_cows\2\Cow_11\310_DGE.tif,2
DGE_all_cows\2\Cow_11\282_DGE.tif,2
DGE_all_cows\2\Cow_11\64_DGE.tif,2
DGE_all_cows\2\Cow_11_2\103_DGE.tif,2
DGE_all_cows\2\Cow_11\170_DGE.tif,2
DGE_all_cows\2\Cow_11_2\108_DGE.tif,2
DGE_all_cows\2\Cow_11\41_DGE.tif,2
DGE_all_cows\2\Cow_11\319_DGE.tif,2
DGE_all_cows\2\Cow_11\249_DGE.tif,2
DGE_all_cows\2\Cow_11\334_DGE.tif,2
DGE_all_cows\2\Cow_11_2\141_DGE.tif,2
DGE_all_cows\2\Cow_11\255_DGE.tif,2
DGE_all_cows\2\Cow_11\90_DGE.tif,2
DGE_all_cows\2\Cow_11\143_DGE.tif,2
DGE_all_cows\2\Cow_11\52_DGE.tif,2
DGE_all_cows\2\Cow_11_2\125_DGE.tif,2
DGE_all_cows\2\Cow_11\138_DGE.tif,2
DGE_all_cows\2\Cow_5_1\110_DGE.tif,2
DGE_all_cows\2\Cow_11\199_DGE.tif,2
DGE_all_cows\2\Cow_11\346_DGE.tif,2
DGE_all_cows\2\Cow_11\193_DGE.tif,2
DGE_all_cows\2\Cow_11_2\183_DGE.tif,2
DGE_all_cows\2\Cow_11\265_DGE.tif,2
DGE_all_cows\2\Cow_11_2\199_DGE.tif,2
DGE_all_cows\2\Cow_5\11_DGE.tif,2
DGE_all_cows\2\Cow_11\256_DGE.tif,2
DGE_all_cows\2\Cow_11\311_DGE.tif,2
DGE_all_cows\2\Cow_11_2\99_DGE.tif,2
DGE_all_cows\2\Cow_11\289_DGE.tif,2
